technology,window_number,window_start_date,window_end_date,days_since_launch,video_count,mean_sentiment,median_sentiment,sentiment_std,proportion_positive,proportion_negative,mean_views,mean_hyperbole,mean_complexity,dominant_topic,topic_diversity,mean_duration,mean_subscriber_count,dominant_category,category_diversity,prop_sci_tech,mean_like_ratio,mean_comment_ratio,sentiment_slope
GPT-4,17,2023-04-25 00:00:00,2023-05-09 00:00:00,42,9,0.5111111111111111,0.6,0.2571208103423585,1.0,0.0,265572.6666666667,0.5111111111111111,0.5777777777777778,Practical Application,0.6666666666666666,1402.3333333333333,506492.22222222225,Education,0.125,0.3333333333333333,0.030336997719627518,0.0034541105919076455,0.03562770562770564
GPT-4,18,2023-05-09 00:00:00,2023-05-23 00:00:00,56,8,0.6125,0.7,0.25877458475338283,1.0,0.0,79601.5,0.5,0.525,Practical Application,0.3333333333333333,728.375,122296.75,Science & Technology,0.09375,0.5,0.024652212095410603,0.0017957299536360766,0.013870573870573872
GPT-4,19,2023-05-23 00:00:00,2023-06-06 00:00:00,70,7,0.5571428571428572,0.6,0.29358214555806383,1.0,0.0,72420.42857142857,0.5428571428571428,0.5857142857142856,Enthusiast/Reaction,0.6666666666666666,1009.1428571428571,362795.4285714286,Science & Technology,0.09375,0.5714285714285714,0.020495869065637416,0.002418732742058768,0.007946775446775457
GPT-4,20,2023-06-06 00:00:00,2023-06-20 00:00:00,84,11,0.6181818181818182,0.7,0.21362669223756578,1.0,0.0,66335.45454545454,0.5272727272727272,0.49090909090909096,Practical Application,0.6666666666666666,724.7272727272727,155635.0,Science & Technology,0.125,0.45454545454545453,0.0209118331242669,0.0031940782121072818,0.02047077922077923
GPT-4,21,2023-06-20 00:00:00,2023-07-04 00:00:00,98,5,0.5,0.7,0.37416573867739417,0.8,0.0,32295.8,0.5599999999999999,0.3,Practical Application,0.3333333333333333,8827.4,18613.0,Science & Technology,0.125,0.4,0.014780356077779624,0.0030380129527680126,0.0310966810966811
GPT-4,22,2023-07-04 00:00:00,2023-07-18 00:00:00,112,14,0.4785714285714286,0.6,0.24862257904942342,1.0,0.0,33433.357142857145,0.4642857142857143,0.5428571428571428,Enthusiast/Reaction,0.6666666666666666,783.7857142857143,127220.92857142857,Science & Technology,0.1875,0.5,0.022949953763384285,0.0033739487694607715,-0.0016540404040404023
GPT-4,23,2023-07-18 00:00:00,2023-08-01 00:00:00,126,5,0.48,0.7,0.30331501776206193,1.0,0.0,44629.8,0.5,0.5599999999999999,Enthusiast/Reaction,0.8333333333333334,673.8,133132.0,People & Blogs,0.09375,0.4,0.02271476555694955,0.0026894317422034597,-0.03250000000000001
GPT-4,24,2023-08-01 00:00:00,2023-08-15 00:00:00,140,7,0.41428571428571426,0.7,0.4059087394500207,0.7142857142857143,0.14285714285714285,6894.571428571428,0.5428571428571428,0.45714285714285713,Practical Application,0.6666666666666666,528.5714285714286,13863.142857142857,Science & Technology,0.0625,0.8571428571428571,0.02477346998065568,0.004356379168844462,-0.029389610389610396
GPT-4,25,2023-08-15 00:00:00,2023-08-29 00:00:00,154,7,0.5714285714285714,0.7,0.2563479777846623,1.0,0.0,7376.142857142857,0.42857142857142855,0.5428571428571428,Practical Application,0.5,1549.4285714285713,357395.71428571426,Science & Technology,0.09375,0.5714285714285714,0.03201061906982713,0.002316568704393706,-0.042779220779220785
GPT-4,26,2023-08-29 00:00:00,2023-09-12 00:00:00,168,10,0.67,0.7,0.21108186931983416,1.0,0.0,2496.5,0.58,0.51,Practical Application,0.6666666666666666,976.7,41044.0,Science & Technology,0.15625,0.4,0.024069649941756407,0.004199254371136754,0.007857142857142846
